loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan
10000,10000,10000, 36 months,10.33%,324.23,B,B1,,< 1 year,MORTGAGE,280000,Not Verified,18-Dec,Current,n
2500,2500,2500, 36 months,13.56%,84.92,C,C1,Chef,10+ years,RENT,55000,Not Verified,18-Dec,Current,n
12000,12000,12000, 60 months,13.56%,276.49,C,C1,,< 1 year,MORTGAGE,40000,Not Verified,18-Dec,Current,n
15000,15000,14975, 60 months,14.47%,352.69,C,C2,,n/a,MORTGAGE,30000,Source Verified,18-Dec,Current,n
16000,16000,16000, 60 months,17.97%,406.04,D,D1,Instructional Coordinator,5 years,MORTGAGE,51000,Not Verified,18-Dec,Current,n
9600,9600,9600, 36 months,23.40%,373.62,E,E1,driver coordinator ,9 years,RENT,65000,Not Verified,18-Dec,Current,n
4000,4000,4000, 36 months,23.40%,155.68,E,E1,Security,3 years,RENT,90000,Source Verified,18-Dec,Current,n
3500,3500,3500, 36 months,20.89%,131.67,D,D4,gas attendant,10+ years,MORTGAGE,40000,Source Verified,18-Dec,Current,n
9600,9600,9600, 36 months,12.98%,323.37,B,B5,,n/a,MORTGAGE,35704,Not Verified,18-Dec,Current,n
8000,8000,8000, 36 months,23.40%,311.35,E,E1,Manager,10+ years,OWN,43000,Source Verified,18-Dec,Current,n
16000,16000,16000, 60 months,26.31%,481.99,E,E4,Financial Relationship Associate,< 1 year,RENT,33000,Source Verified,18-Dec,Current,n
30000,30000,30000, 60 months,18.94%,777.23,D,D2,Postmaster ,10+ years,MORTGAGE,90000,Source Verified,18-Dec,Current,n
10000,10000,10000, 60 months,19.92%,264.5,D,D3,Material Handler,10+ years,MORTGAGE,80000,Not Verified,18-Dec,Current,n
5000,5000,5000, 36 months,17.97%,180.69,D,D1,Administrative,6 years,MORTGAGE,59280,Source Verified,18-Dec,Current,n
23000,23000,23000, 60 months,20.89%,620.81,D,D4,Operator,5 years,RENT,68107,Source Verified,18-Dec,Current,n
32075,32075,32075, 60 months,11.80%,710.26,B,B4,Nursing Supervisor,10+ years,MORTGAGE,150000,Not Verified,18-Dec,Current,n
13000,13000,13000, 36 months,23.40%,505.95,E,E1,Sale Representative,2 years,MORTGAGE,90000,Verified,18-Dec,Current,n
35000,35000,35000, 60 months,15.02%,833.02,C,C3,Sr Sales Manager,10+ years,MORTGAGE,290000,Source Verified,18-Dec,Current,n
40000,40000,40000, 60 months,11.31%,875.9,B,B3,,< 1 year,MORTGAGE,136000,Not Verified,18-Dec,Current,n
8000,8000,8000, 36 months,10.33%,259.38,B,B1,Optician,6 years,MORTGAGE,38000,Source Verified,18-Dec,Current,n
24000,24000,24000, 60 months,27.27%,736.73,E,E5,Firefighter/captain,10+ years,MORTGAGE,140000,Not Verified,18-Dec,Current,n
